function,x_dim,c_dim,method,repeat,client,t,regret
ackley,1,2,fd,6,-1,13,0.04249716536426489
ackley,1,2,fd,6,-1,14,0.03754841372874922
ackley,1,2,fd,6,-1,15,0.04396362166522423
ackley,1,2,fd,6,-1,16,0.039197803225329515
ackley,1,2,fd,6,-1,17,0.07636611856247962
ackley,1,2,fd,6,-1,18,0.04880916023963312
ackley,1,2,fd,6,-1,19,0.04714797751405735
ackley,1,2,fd,6,-1,20,0.05090114312010237
ackley,1,2,fd,6,-1,21,0.04956311633600735
ackley,1,2,fd,6,-1,22,0.05053593595224534
ackley,1,2,fd,6,-1,23,0.04796807662239133
ackley,1,2,fd,6,-1,24,0.04807304530479701
ackley,1,2,fd,6,-1,25,0.0529641436544918
ackley,1,2,fd,6,-1,26,0.05028890050182572
ackley,1,2,fd,6,-1,27,0.04943040792823568
ackley,1,2,fd,6,-1,28,0.05358032955171433
ackley,1,2,fd,6,-1,29,0.05545912714493221
ackley,1,2,fd,6,-1,30,0.05196437600716448
ackley,1,2,fd,6,-1,31,0.05057519805945857
ackley,1,2,fd,6,-1,32,0.04253101753954468
ackley,1,2,fd,6,-1,33,0.045340481486221475
ackley,1,2,fd,6,-1,34,0.04400848531292168
ackley,1,2,fd,6,-1,35,0.043682243505111226
ackley,1,2,fd,6,-1,36,0.0391367977227791
ackley,1,2,fd,6,-1,37,0.04312745149397792
ackley,1,2,fd,6,-1,38,0.0376069350777887
ackley,1,2,fd,6,-1,39,0.04438831439254164
ackley,1,2,fd,6,-1,40,0.043140692357463636
ackley,1,2,fd,6,-1,41,0.04733014291161129
ackley,1,2,fd,6,-1,42,0.045251512659843486
ackley,1,2,fd,6,-1,43,0.043493568893483506
ackley,1,2,fd,6,-1,44,0.039007142635570036
ackley,1,2,fd,6,-1,45,0.04043518452507057
ackley,1,2,fd,6,-1,46,0.036732849224341335
ackley,1,2,fd,6,-1,47,0.04293767114825735
ackley,1,2,fd,6,-1,48,0.039529937199398006
ackley,1,2,fd,6,-1,49,0.03727289841448403
ackley,1,2,fd,6,-1,50,0.039575792621277445
ackley,1,2,fd,6,-1,51,0.0378520201406692
ackley,1,2,fd,6,-1,52,0.03816147623572074
ackley,1,2,fd,6,-1,53,0.03357323702437642
ackley,1,2,fd,6,-1,54,0.03706841279427691
ackley,1,2,fd,6,-1,55,0.04100930381568123
ackley,1,2,fd,6,-1,56,0.04217475368053608
ackley,1,2,fd,6,-1,57,0.03747650786313719
ackley,1,2,fd,6,-1,58,0.03616000243418425
ackley,1,2,fd,6,-1,59,0.03561197885802135
ackley,1,2,fd,7,-1,0,0.07497207362082937
ackley,1,2,fd,7,-1,1,0.08930952197163904
ackley,1,2,fd,7,-1,2,0.0760767559024587
ackley,1,2,fd,7,-1,3,0.07573247346343669
ackley,1,2,fd,7,-1,4,0.049839478196752676
ackley,1,2,fd,7,-1,5,0.04808067903409856
ackley,1,2,fd,7,-1,6,0.05785059940830269
ackley,1,2,fd,7,-1,7,0.053760621275318186
ackley,1,2,fd,7,-1,8,0.056100844870995877
ackley,1,2,fd,7,-1,9,0.04817140397838774
ackley,1,2,fd,7,-1,10,0.05073956201123564
ackley,1,2,fd,7,-1,11,0.03734499015857589
ackley,1,2,fd,7,-1,12,0.0494458216067296
ackley,1,2,fd,7,-1,13,0.03246011579154617
ackley,1,2,fd,7,-1,14,0.028253748784547977
ackley,1,2,fd,7,-1,15,0.033271508046531305
ackley,1,2,fd,7,-1,16,0.03427721671326482
ackley,1,2,fd,7,-1,17,0.033728906484397594
ackley,1,2,fd,7,-1,18,0.030324269498159175
ackley,1,2,fd,7,-1,19,0.03582916051454098
ackley,1,2,fd,7,-1,20,0.029522837506644937
ackley,1,2,fd,7,-1,21,0.030505191325434923
ackley,1,2,fd,7,-1,22,0.026714901948215443
ackley,1,2,fd,7,-1,23,0.033278681986689686
ackley,1,2,fd,7,-1,24,0.030343519441125115
ackley,1,2,fd,7,-1,25,0.0295324223932753
ackley,1,2,fd,7,-1,26,0.030110800705030184
ackley,1,2,fd,7,-1,27,0.029262020016498882
ackley,1,2,fd,7,-1,28,0.026349381005472742
ackley,1,2,fd,7,-1,29,0.028978857408345028
ackley,1,2,fd,7,-1,30,0.027604575528176835
ackley,1,2,fd,7,-1,31,0.032995860351905854
ackley,1,2,fd,7,-1,32,0.03013661511542791
ackley,1,2,fd,7,-1,33,0.03118201635810799
ackley,1,2,fd,7,-1,34,0.02726205601666157
ackley,1,2,fd,7,-1,35,0.026344650644041283
ackley,1,2,fd,7,-1,36,0.03096560585137879
ackley,1,2,fd,7,-1,37,0.03490175349523248
ackley,1,2,fd,7,-1,38,0.0366798944537971
ackley,1,2,fd,7,-1,39,0.034077606721085174
ackley,1,2,fd,7,-1,40,0.03189838414138434
ackley,1,2,fd,7,-1,41,0.0323091444102987
ackley,1,2,fd,7,-1,42,0.03660100028875898
ackley,1,2,fd,7,-1,43,0.03419401610572603
ackley,1,2,fd,7,-1,44,0.033546466546666105
ackley,1,2,fd,7,-1,45,0.02661832405060642
ackley,1,2,fd,7,-1,46,0.02600902498958026
ackley,1,2,fd,7,-1,47,0.024860171350578206
ackley,1,2,fd,7,-1,48,0.026424506123366956
ackley,1,2,fd,7,-1,49,0.024875562721356714
ackley,1,2,fd,7,-1,50,0.03283963727138925
ackley,1,2,fd,7,-1,51,0.030967466357932506
ackley,1,2,fd,7,-1,52,0.030819096026325873
ackley,1,2,fd,7,-1,53,0.02948373787422211
ackley,1,2,fd,7,-1,54,0.02781742813335712
ackley,1,2,fd,7,-1,55,0.027309386998720268
ackley,1,2,fd,7,-1,56,0.030071130685426824
ackley,1,2,fd,7,-1,57,0.02657423452225932
ackley,1,2,fd,7,-1,58,0.024298708445974544
ackley,1,2,fd,7,-1,59,0.023220678043003238
ackley,1,2,fd,8,-1,0,0.07497207362082937
ackley,1,2,fd,8,-1,1,0.05814971863854456
ackley,1,2,fd,8,-1,2,0.0489569165950266
ackley,1,2,fd,8,-1,3,0.052849381093884845
